Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
IQDG,2850,0,0.00,0,0.00,37.37,2550,300
SMMD,2831,0,0.00,0,0.00,63.67,2831,0
REGL,2770,0,0.00,0,0.00,69.55,2770,0
DDWM,2746,0,0.00,0,0.00,29.77,2411,335
MINN,2721,0,0.00,0,0.00,25.01,2721,0
LUXE,2644,0,0.00,0,0.00,28.89,2644,0
BBRE,2578,0,0.00,0,0.00,85.41,2578,0
IBMO,2572,0,0.00,0,0.00,26.75,2572,0
NJAN,2570,0,0.00,0,0.00,38.60,1770,800
PAUG,2520,0,0.00,0,0.00,28.82,2520,0
DAUG,2402,0,0.00,0,0.00,33.63,2402,0
DIVB,2372,0,0.00,0,0.00,36.58,2372,0
FAUG,2355,0,0.00,0,0.00,35.66,2355,0
TOKE,2250,0,0.00,0,0.00,21.04,2250,0
EPRF,2240,0,0.00,0,0.00,24.13,2240,0
FRDM,2240,0,0.00,0,0.00,33.58,2240,0
SMB,2182,0,0.00,0,0.00,17.99,1382,800
JPHY,2156,0,0.00,0,0.00,51.27,2056,100
IEME,2074,0,0.00,0,0.00,42.27,2074,0
XMPT,2070,0,0.00,0,0.00,28.14,2070,0
SMMV,2008,0,0.00,0,0.00,37.32,2008,0
UOCT,2001,0,0.00,0,0.00,27.17,2001,0
IETC,1986,0,0.00,0,0.00,48.46,1985,1
PSMB,1954,0,0.00,0,0.00,15.86,1954,0
IBMQ,1911,0,0.00,0,0.00,27.08,1911,0
YMAR,1886,0,0.00,0,0.00,20.16,1886,0
VFMO,1858,0,0.00,0,0.00,126.34,1708,150
DTEC,1811,0,0.00,0,0.00,45.12,1811,0
VAMO,1789,0,0.00,0,0.00,23.69,1789,0
OMFS,1758,0,0.00,0,0.00,40.28,1758,0
PSEP,1735,0,0.00,0,0.00,28.59,1735,0
IECS,1719,0,0.00,0,0.00,31.43,1719,0
BUFF,1705,0,0.00,0,0.00,33.89,1705,0
VFMF,1690,0,0.00,0,0.00,96.78,1219,471
PTMC,1686,0,0.00,0,0.00,34.68,1629,57
IVRA,1664,0,0.00,0,0.00,12.92,1664,0
XSHD,1639,0,0.00,0,0.00,22.80,1639,0
PBUS,1624,0,0.00,0,0.00,40.09,1324,300
EFNL,1608,0,0.00,0,0.00,45.60,1608,0
IGRO,1562,0,0.00,0,0.00,65.36,1562,0
MAGA,1540,0,0.00,0,0.00,33.90,1520,20
XVZ,1516,0,0.00,0,0.00,39.61,1516,0
UJUL,1481,0,0.00,0,0.00,26.77,1481,0
TTAC,1469,0,0.00,0,0.00,48.78,1469,0
IBHB,1445,0,0.00,0,0.00,24.21,1145,300
XVV,1432,0,0.00,0,0.00,29.94,672,760
LVHI,1423,0,0.00,0,0.00,25.16,1423,0
PBSM,1413,0,0.00,0,0.00,38.07,1149,264
WFIG,1405,0,0.00,0,0.00,52.20,1305,100
FLDR,1401,0,0.00,0,0.00,50.73,1401,0
VFMV,1367,0,0.00,0,0.00,92.46,1367,0
DDEC,1346,0,0.00,0,0.00,31.01,1346,0
EWUS,1344,0,0.00,0,0.00,45.36,1344,0
XSHQ,1292,0,0.00,0,0.00,37.29,1292,0
NUMG,1279,0,0.00,0,0.00,49.68,1279,0
EYLD,1206,0,0.00,0,0.00,37.86,1206,0
GAA,1206,0,0.00,0,0.00,31.38,1206,0
ESG,1202,0,0.00,0,0.00,96.30,1202,0
GCOW,1201,0,0.00,0,0.00,30.74,1201,0
OUSM,1189,0,0.00,0,0.00,33.80,1189,0
PDEC,1138,0,0.00,0,0.00,29.57,1138,0
RVRS,1132,0,0.00,0,0.00,21.47,1132,0
PAPR,1128,0,0.00,0,0.00,27.55,1128,0
GSST,1102,0,0.00,0,0.00,50.79,1102,0
LEAD,1089,0,0.00,0,0.00,48.89,1089,0
ACIO,1084,0,0.00,0,0.00,27.85,1084,0
BBIN,1080,0,0.00,0,0.00,58.12,1080,0
MSTB,1056,0,0.00,0,0.00,28.50,1056,0
FUNL,1039,0,0.00,0,0.00,31.64,1039,0
DRSK,1035,0,0.00,0,0.00,29.28,826,209
BMAY,1017,0,0.00,0,0.00,30.25,1017,0
XJH,1005,0,0.00,0,0.00,35.83,1005,0
HYHG,1004,0,0.00,0,0.00,62.51,1004,0
IBHD,996,0,0.00,0,0.00,24.45,496,500
PNOV,990,0,0.00,0,0.00,29.53,990,0
BOSS,980,0,0.00,0,0.00,32.35,980,0
EFAD,965,0,0.00,0,0.00,43.67,965,0
ATMP,960,0,0.00,0,0.00,13.85,960,0
RSXJ,949,0,0.00,0,0.00,36.86,949,0
HYXU,945,0,0.00,0,0.00,55.75,945,0
ROMO,940,0,0.00,0,0.00,26.29,940,0
RTAI,935,0,0.00,0,0.00,26.66,935,0
FLV,901,0,0.00,0,0.00,57.24,901,0
DBOC,900,0,0.00,0,0.00,27.79,900,0
AVDR,896,0,0.00,0,0.00,27.65,896,0
CBTG,896,0,0.00,0,0.00,30.84,896,0
FJAN,895,0,0.00,0,0.00,31.06,895,0
FCTR,887,0,0.00,0,0.00,33.56,887,0
FFTI,880,0,0.00,0,0.00,23.76,880,0
TDV,879,0,0.00,0,0.00,56.07,779,100
DFNV,878,0,0.00,0,0.00,26.60,878,0
PFEB,878,0,0.00,0,0.00,27.41,878,0
HEEM,861,0,0.00,0,0.00,32.47,787,74
DFND,838,0,0.00,0,0.00,35.59,838,0
EMDV,835,0,0.00,0,0.00,60.59,835,0
AGT,833,0,0.00,0,0.00,25.34,833,0
PSMM,805,0,0.00,0,0.00,14.86,805,0
BJUL,768,0,0.00,0,0.00,30.92,768,0
KNGS,766,0,0.00,0,0.00,27.95,766,0
PJUL,766,0,0.00,0,0.00,29.22,766,0
OSCV,757,0,0.00,0,0.00,31.74,757,0
GTIP,754,0,0.00,0,0.00,56.55,754,0
PSMG,735,0,0.00,0,0.00,17.30,735,0
IBHE,730,0,0.00,0,0.00,24.94,218,512
SHAG,725,0,0.00,0,0.00,50.96,725,0
FEDX,715,0,0.00,0,0.00,28.36,715,0
FSEP,706,0,0.00,0,0.00,33.17,706,0
EAOA,704,0,0.00,0,0.00,31.63,704,0
QMOM,694,0,0.00,0,0.00,54.07,601,93
GOAT,673,0,0.00,0,0.00,36.97,673,0
VFQY,664,0,0.00,0,0.00,111.99,664,0
IAUF,644,0,0.00,0,0.00,53.38,644,0
VCEB,636,0,0.00,0,0.00,72.23,633,3
ENOR,618,0,0.00,0,0.00,27.70,618,0
IVAL,604,0,0.00,0,0.00,29.02,604,0
DNOV,601,0,0.00,0,0.00,33.85,601,0
FFTG,600,0,0.00,0,0.00,28.90,600,0
UJUN,600,0,0.00,0,0.00,28.28,600,0
FAIL,598,0,0.00,0,0.00,24.55,598,0
FFHG,590,0,0.00,0,0.00,33.79,590,0
ALFA,580,0,0.00,0,0.00,77.21,580,0
IGEB,576,0,0.00,0,0.00,52.51,576,0
BJAN,569,0,0.00,0,0.00,33.80,569,0
DFEB,568,0,0.00,0,0.00,33.01,568,0
BSEP,564,0,0.00,0,0.00,30.21,564,0
FYLD,544,0,0.00,0,0.00,27.51,544,0
TFJL,532,0,0.00,0,0.00,23.62,532,0
BLDG,520,0,0.00,0,0.00,30.22,520,0
BAUG,505,0,0.00,0,0.00,30.62,505,0
BFEB,499,0,0.00,0,0.00,28.84,499,0
